00                                                    : Line Break
01                                                    : Start on Blank Line
02                                                    : Stop Parsing
03                                                    : Halt Parsing with Prompt - Variable
04 XX XX                                              : Toggle On Event Flag
05 XX XX                                              : Toggle Off Event Flag
06 XX XX YY YY YY YY                                  : Event-Dependent Pointer
07 XX XX                                              : Return Event Flag
08 XX XX XX XX                                        : Reference Pointer
09 XX [YY YY YY YY]                                   : Multiple-Address Jump Pointer
0A XX XX XX XX                                        : Jump Pointer
0B XX                                                 : Perform Boolean True Check - Equal to Working Memory
0C XX                                                 : Perform Boolean False Check - Equal to Working Memory
0D XX                                                 : Copy to Argumentative Memory
0E XX                                                 : Store to Secondary Memory
0F                                                    : Increment Secondary Memory
10 XX                                                 : Delay Parsing
11                                                    : Create Selection Menu from Strings
12                                                    : Clear Text Line
13                                                    : Halt Parsing without Prompt
14                                                    : Halt Parsing with Prompt
15 XX                                                 : Display Compressed Text/Bank 0
16 XX                                                 : Display Compressed Text/Bank 1
17 XX                                                 : Display Compressed Text/Bank 2
18 00                                                 : Close Current Window
18 01 XX                                              : Open Text Window
18 02                                                 : UNKNOWN
18 03 XX                                              : Switch To Window
18 04                                                 : Close All Windows
18 05 XX YY                                           : Force Text Alignment
18 06                                                 : Clear Current Window
18 07 XX XX XX XX YY                                  : UNKNOWN
18 08 XX XX XX                                        : UNKNOWN
18 09 XX XX XX                                        : UNKNOWN
18 0A                                                 : Show Wallet Window
18 0D XX XX                                           : UNKNOWN
19 02                                                 : Load String to Memory
19 04                                                 : UNKNOWN
19 05 XX YY YY                                        : Inflict Status Change
19 10 XX                                              : Return Character Number
19 11 XX                                              : Return One Letter from a Character's Name
19 14                                                 : UNKNOWN
19 16 XX YY                                           : Return Byte YY of Character's Status
19 18 XX                                              : UNKNOWN
19 19 00 00                                           : Pass Item Number to Working Memory
19 1A XX                                              : UNKNOWN
19 1B XX                                              : UNKNOWN
19 1C XX YY                                           : UNKNOWN
19 1D XX YY                                           : UNKNOWN
19 1E                                                 : UNKNOWN
19 1F                                                 : UNKNOWN
19 20                                                 : UNKNOWN
19 21 XX                                              : UNKNOWN
19 22 XX YY ZZ ZZ                                     : Return Direction from Character to Object?
19 23 XX XX YY YY                                     : Return Direction from NPC to Object?
19 24 XX XX YY YY                                     : Return Direction from Sprite to Object?
19 25 XX                                              : UNKNOWN
19 26 XX                                              : UNKNOWN
19 27 XX                                              : UNKNOWN
19 28 XX                                              : UNKNOWN
1A 00                                                 : UNKNOWN INCOMPLETE
1A 01 WW WW WW WW XX XX XX XX YY YY YY YY ZZ ZZ ZZ ZZ : Current Party Member Selection Menu
1A 04                                                 : UNKNOWN INCOMPLETE
1A 05 XX YY                                           : Display the inventory of character YY in window XX.
1A 06 XX                                              : Display Shop Menu
1A 07                                                 : Related to Escargo Express stored goods window
1A 08                                                 : UNKNOWN INCOMPLETE
1A 09                                                 : UNKNOWN INCOMPLETE
1A 0A                                                 : Open Phone Menu - Dummy?
1A 0B                                                 : UNKNOWN
1B 00                                                 : Copy Active Memory to Storage
1B 01                                                 : Copy Storage to Active Memory
